[aaudio.hw_burst_min_usec]: [2000]
[hw_mc.meetime.mode]: [2]
[hwservicemanager.ready]: [true]
[init.svc.AGPService]: [running]
[init.svc.HwServiceHost]: [running]
[init.svc.adbd]: [running]
[init.svc.android.thermal-hal]: [running]
[init.svc.apexd]: [running]
[init.svc.apexd-bootstrap]: [stopped]
[init.svc.apexd-snapshotde]: [stopped]
[init.svc.applogcat]: [stopped]
[init.svc.aptouch]: [running]
[init.svc.audioserver]: [running]
[init.svc.bastetd]: [running]
[init.svc.bms_auth]: [running]
[init.svc.bms_behavior]: [running]
[init.svc.bms_cycle]: [stopped]
[init.svc.bms_event]: [running]
[init.svc.bms_logcat]: [stopped]
[init.svc.bms_soc]: [running]
[init.svc.bms_thermal]: [stopped]
[init.svc.bootanim]: [stopped]
[init.svc.boringssl_self_test32]: [stopped]
[init.svc.boringssl_self_test64]: [stopped]
[init.svc.bpfloader]: [stopped]
[init.svc.bsoh]: [running]
[init.svc.cameraserver]: [running]
[init.svc.chargelogcat]: [stopped]
[init.svc.chargelogcat-c]: [running]
[init.svc.cnss-daemon]: [running]
[init.svc.cust_from_init]: [stopped]
[init.svc.derive_classpath]: [stopped]
[init.svc.derive_sdk]: [stopped]
[init.svc.display-color-hal-1-0]: [running]
[init.svc.display-hal-1-2]: [running]
[init.svc.displayengine-hal-1-2]: [running]
[init.svc.distributedfiledaemon]: [running]
[init.svc.distributedfileservice]: [stopped]
[init.svc.dpeservice]: [running]
[init.svc.dpmQmiMgr]: [running]
[init.svc.drm]: [stopped]
[init.svc.dubaid]: [running]
[init.svc.emcomd]: [running]
[init.svc.eventslogcat]: [stopped]
[init.svc.face_hal]: [running]
[init.svc.fingerprint_log]: [stopped]
[init.svc.fps_hal_ext]: [running]
[init.svc.gatekeeper-1-0]: [running]
[init.svc.gatekeeperd]: [running]
[init.svc.gnss_service]: [running]
[init.svc.gpu]: [running]
[init.svc.hdbd]: [running]
[init.svc.health-hal-2-1]: [running]
[init.svc.heapprofd]: [stopped]
[init.svc.hiapplogcat]: [stopped]
[init.svc.hidl_memory]: [running]
[init.svc.hilog]: [stopped]
[init.svc.hisecd]: [running]
[init.svc.hiview]: [running]
[init.svc.hw_diag_server]: [stopped]
[init.svc.hwemerffu]: [stopped]
[init.svc.hwfs-hal-1-0]: [running]
[init.svc.hwhiview-hal-1-0]: [running]
[init.svc.hwnffearly]: [stopped]
[init.svc.hwpged]: [running]
[init.svc.hwsecurity-hal]: [running]
[init.svc.hwservicemanager]: [running]
[init.svc.hyperhold-hw-1-0]: [stopped]
[init.svc.iGraphicsservice]: [running]
[init.svc.idmap2d]: [stopped]
[init.svc.incidentd]: [running]
[init.svc.inotifywait]: [stopped]
[init.svc.inputlogcat]: [stopped]
[init.svc.installd]: [running]
[init.svc.irsc_util]: [stopped]
[init.svc.kernel-boot]: [stopped]
[init.svc.kernel-post-boot]: [stopped]
[init.svc.keystore2]: [running]
[init.svc.kmsglogcat]: [stopped]
[init.svc.libqmi_oem_main]: [running]
[init.svc.light-ext-hal-2-0]: [running]
[init.svc.lmkd]: [running]
[init.svc.loc_launcher]: [running]
[init.svc.logcatcrash2kmsg]: [stopped]
[init.svc.logd]: [running]
[init.svc.logd-auditctl]: [stopped]
[init.svc.logd-reinit]: [stopped]
[init.svc.macaddr]: [stopped]
[init.svc.media]: [running]
[init.svc.media.swcodec]: [running]
[init.svc.mediadrm]: [running]
[init.svc.mediaextractor]: [running]
[init.svc.mediametrics]: [running]
[init.svc.mlid]: [running]
[init.svc.motion-hal-1-0]: [running]
[init.svc.netd]: [running]
[init.svc.nfc_hal_ext_service]: [stopped]
[init.svc.nqnfcinfo]: [stopped]
[init.svc.odmf-data-chgrp]: [stopped]
[init.svc.odsign]: [stopped]
[init.svc.oeminfo_nvm]: [running]
[init.svc.perf-hal-2-2]: [running]
[init.svc.power-hw-hal-1-0]: [running]
[init.svc.powerct]: [stopped]
[init.svc.powerlogd]: [running]
[init.svc.poweropt-service]: [running]
[init.svc.psiclient]: [stopped]
[init.svc.qccsyshal@1.2-service]: [running]
[init.svc.qccvndhalservice]: [running]
[init.svc.qcom-c_core-sh]: [stopped]
[init.svc.qcom-c_main-sh]: [stopped]
[init.svc.qcom-post-boot]: [stopped]
[init.svc.qcom-sh]: [stopped]
[init.svc.qcomsysd]: [stopped]
[init.svc.qseecom-service]: [running]
[init.svc.qspmhal]: [running]
[init.svc.qteeconnector-hal-1-0]: [running]
[init.svc.qti-media]: [stopped]
[init.svc.qti-testscripts]: [stopped]
[init.svc.qti_display_boot]: [stopped]
[init.svc.rillogcat]: [stopped]
[init.svc.rphone_early]: [stopped]
[init.svc.secureelement-hal_1_2]: [running]
[init.svc.sensors-hal-1-2_hw]: [stopped]
[init.svc.servicemanager]: [running]
[init.svc.sleeplogcat]: [stopped]
[init.svc.sop-hal-1-0]: [stopped]
[init.svc.ssgqmigd]: [running]
[init.svc.statsd]: [running]
[init.svc.storage_info]: [restarting]
[init.svc.storaged]: [running]
[init.svc.surfaceflinger]: [running]
[init.svc.system_suspend]: [running]
[init.svc.teeadapter]: [running]
[init.svc.thermal-daemon]: [running]
[init.svc.thermal-engine]: [running]
[init.svc.time_daemon]: [running]
[init.svc.tombstoned]: [running]
[init.svc.tp-hal-1-0]: [running]
[init.svc.traced]: [running]
[init.svc.traced_perf]: [stopped]
[init.svc.traced_probes]: [running]
[init.svc.ueventd]: [running]
[init.svc.uniperf-hal-1-0]: [running]
[init.svc.update_engine]: [stopped]
[init.svc.usb_port]: [running]
[init.svc.usbd]: [stopped]
[init.svc.vendor-sensor-sh]: [stopped]
[init.svc.virtual_keyboard]: [running]
[init.svc.vndservicemanager]: [running]
[init.svc.vold]: [running]
[init.svc.wifi_ext]: [running]
[init.svc.wificond]: [running]
[init.svc.wlan_detect]: [stopped]
[init.svc.wpa_supplicant]: [running]
[init.svc.xlogcat_service]: [stopped]
[init.svc.xlogctl_service]: [stopped]
[init.svc.xlogfilter_service]: [stopped]
[init.svc.xmntn_himntn]: [stopped]
[init.svc.xmntn_rainbow]: [stopped]
[init.svc.zygote]: [running]
[init.svc.zygote_secondary]: [running]
[lockscreen.rot_override]: [false]
[log.flowctrl.1]: [27eccdc00590399ea0a5c6f5c60b53ececb0b81b3a455]
[log.tag.APM_AudioPolicyManager]: [D]
[log.tag.stats_log]: [I]
[logd.ready]: [true]
[media.stagefright.enable-aac]: [true]
[media.stagefright.enable-fma2dp]: [true]
[media.stagefright.enable-http]: [true]
[media.stagefright.enable-player]: [true]
[media.stagefright.enable-qcp]: [true]
[media.stagefright.enable-scan]: [true]
[media.stagefright.thumbnail.prefer_hw_codecs]: [true]
[msc.booster.evs_close_vc]: [all/cn]
[msc.booster.network_lags_optimize_feature]: [3]
[msc.booster.sa_pingpong_switch]: [true]
[msc.booster.vonr_switch_by_city]: [true]
[msc.boot.powerkey.restart_type]: [0]
[msc.build.pif]: [2]
[msc.camera.BackSnapShotLimit]: [true]
[msc.camera.back_video_default_value]: [1080P]
[msc.camera.beauty_max_3x_zoom_dot]: [true]
[msc.camera.beautyvideo]: [true]
[msc.camera.capturedelay_config_enable]: [true]
[msc.camera.documentrecognition]: [false]
[msc.camera.fastcapture]: [false]
[msc.camera.front_touch_shot]: [off]
[msc.camera.front_video_default_value]: [1080P]
[msc.camera.horizonLevel_performancemode]: [true]
[msc.camera.light_leak_mask]: [1]
[msc.camera.lightpainting]: [false]
[msc.camera.livephoto_enable]: [false]
[msc.camera.provideo]: [false]
[msc.camera.rawphoto.save]: [false]
[msc.camera.slowmotion]: [false]
[msc.camera.smartshoot_enable]: [true]
[msc.camera.support_720p_21_9]: [true]
[msc.camera.timelapse1_show_videotime]: [true]
[msc.camera.vibrator_optimize_enable]: [true]
[msc.camera.videostabilization]: [false]
[msc.cast.cast_config_parameter]: [RESOLUTION_CEA;5;30;PROFILE_CHP;LEVEL_32;VTP_SUPPORT;-1;-1;-1;3;5]
[msc.config.BatteryLevel_job_allowed]: [95]
[msc.config.OptiDBConfig]: [true]
[msc.config.allow_rs_mms]: [true]
[msc.config.aqv_enabled]: [false]
[msc.config.assistant.metro_enable]: [true]
[msc.config.cast_mode]: [true]
[msc.config.charge_frz]: [true]
[msc.config.cota]: [false]
[msc.config.dts_settings]: [true]
[msc.config.eapsim]: [true]
[msc.config.easywakeup]: [false]
[msc.config.eccNumUseRplmn]: [true]
[msc.config.ecclist_nocard]: [+120,+122]
[msc.config.ecclist_withcard]: [+112]
[msc.config.emcom]: [true]
[msc.config.emcom_mpux]: [4]
[msc.config.fake_ecc_list]: [110,120,122,999,119]
[msc.config.floatmenu_settings]: [false]
[msc.config.fp_type]: [3,1,200,200]
[msc.config.freeform_enable]: [true]
[msc.config.fyuse_enable]: [false]
[msc.config.globalEcc]: [true]
[msc.config.gta_words]: [huawei]
[msc.config.hntheme]: [1]
[msc.config.hotswap_on]: [true]
[msc.config.knucklegesture]: [Honor]
[msc.config.light_enhance]: [true]
[msc.config.lte_release]: [true]
[msc.config.lte_support]: [true]
[msc.config.magic.version]: [7.0]
[msc.config.motion_reco_qcom]: [true]
[msc.config.multiwindow_optimization]: [true]
[msc.config.navi_extend]: [false]
[msc.config.new_screen_aspect]: [2388:2274:1080]
[msc.config.newsimple]: [true]
[msc.config.nlp]: [com.huawei.lbs]
[msc.config.notch_size]: [60,88,510,48]
[msc.config.opta]: [999]
[msc.config.optb]: [156]
[msc.config.power_saving]: [true]
[msc.config.power_voice_key]: [true]
[msc.config.privacySpace]: [false]
[msc.config.rcs_product]: [true]
[msc.config.rcs_vendor]: [true]
[msc.config.rcs_vs_is]: [1]
[msc.config.security_volume]: [8]
[msc.config.sensorhub]: [true]
[msc.config.show_4G_Plus_icon]: [true]
[msc.config.singlehand]: [1]
[msc.config.smallwindow]: [0]
[msc.config.srlte]: [true]
[msc.config.support_clone_app]: [true]
[msc.config.support_geofence]: [true]
[msc.config.support_hnpki]: [true]
[msc.config.support_led]: [false]
[msc.config.switchdata_4G]: [true]
[msc.config.sws]: [true]
[msc.config.sync_enabled]: [true]
[msc.config.tint]: [true]
[msc.config.triple_finger]: [true]
[msc.config.updateCotaPara]: [true]
[msc.config.useCtrlSocket]: [true]
[msc.config.use_security_patch]: [false]
[msc.config.vassistant_honor]: [true]
[msc.config.vcardBase64]: [true]
[msc.config.voicemail_sim]: [true]
[msc.config.volte_dyn]: [true]
[msc.config.volte_icon_rule]: [1]
[msc.config.volte_on]: [true]
[msc.config.vtlte_on]: [true]
[msc.config.wakeup_device]: [true]
[msc.config.watermark]: [false]
[msc.config.wifibridge]: [true]
[msc.cust.oma_drm]: [false]
[msc.dg.img]: [0]
[msc.dg.img.resume]: [0]
[msc.disable_instantonline]: [true]
[msc.feature_nsa_nodata_release_scg]: [true]
[msc.foreground_data_opt_enable]: [true]
[msc.hicall.screensharing]: [true]
[msc.hicall.skinbeauty]: [false]
[msc.honorlens.magictext_capability]: [true]
[msc.iConnect.BtScoRecord]: [true]
[msc.inputmethod.haptic_max_level]: [1]
[msc.inputmethod.support_touch_host_processing]: [true]
[msc.keychain_switch]: [true]
[msc.launcher.app_launch_animation_enable]: [false]
[msc.launcher.app_recent_animation_low_load]: [true]
[msc.launcher.card_support]: [true]
[msc.launcher.enable_preload_layout_vc]: [def_*;porsche_*;channel_*;all_cn]
[msc.launcher.magic_library_support]: [2]
[msc.launcher.quick_switch_force_enable]: [true]
[msc.launcher.right.second.screen_support]: [true]
[msc.launcher.unlock_animation]: [false]
[msc.launcher.unlock_animation_level]: [1]
[msc.launcher_gesture_snapshot_enable]: [false]
[msc.media.audio.lowlatency.enable]: [true]
[msc.meetime.message.mode]: [1]
[msc.meetime.mode]: [2]
[msc.meetime.p2p.mode]: [1]
[msc.multidevice.fams_enable]: [true]
[msc.multiscreen]: [true]
[msc.multiscreen.collaboration.value]: [3]
[msc.multiscreen.devicecollaboration.config]: [config:1280,0,0,0;lite_device:1]
[msc.multiscreen.mdms.value]: [1]
[msc.network.emcom_qoe_strategy]: [2]
[msc.notification.block_rule.enabled]: [1]
[msc.nsa_nodata_release_scg_timer]: [48000]
[msc.only_ipv6_allowed_cure]: [true]
[msc.os_camera.hide_aux_api1_camera_id]: [true]
[msc.performance.low_device]: [true]
[msc.pms.reserve_profile]: [true]
[msc.power.fast_dormancy]: [true]
[msc.power.fdtimer_screenOff]: [3000]
[msc.power.fdtimer_screenOn]: [15000]
[msc.pp.cmcc_cu_dsdx_enable]: [true]
[msc.pp.ds_fail]: [111,30,32,33,35]
[msc.pp.fast_pref_net_reg]: [true]
[msc.pp.network.type.comma]: [true]
[msc.pp.qcril_cross_mapping]: [true]
[msc.preload.tracking.cn.wps.moffice_eng]: [honor_preload_default]
[msc.preload.tracking.com.UCMobile]: [honor_preload_default]
[msc.preload.tracking.com.achievo.vipshop]: [honor_preload_default]
[msc.preload.tracking.com.baidu.BaiduMap]: [honor_preload_default]
[msc.preload.tracking.com.baidu.haokan]: [honor_preload_default]
[msc.preload.tracking.com.baidu.searchbox]: [honor_preload_default]
[msc.preload.tracking.com.dragon.read]: [honor_preload_default]
[msc.preload.tracking.com.eg.android.AlipayGphone]: [honor_preload_default]
[msc.preload.tracking.com.hihonor.magichome]: [honor_preload_default]
[msc.preload.tracking.com.jingdong.app.mall]: [honor_preload_default]
[msc.preload.tracking.com.kugou.fanxing.huawei]: [honor_preload_default]
[msc.preload.tracking.com.sina.weibo]: [honor_preload_default]
[msc.preload.tracking.com.smile.gifmaker]: [honor_preload_default]
[msc.preload.tracking.com.ss.android.article.news]: [honor_preload_default]
[msc.preload.tracking.com.ss.android.ugc.aweme]: [honor_preload_default]
[msc.preload.tracking.com.taobao.litetao]: [honor_preload_default]
[msc.preload.tracking.com.taobao.taobao]: [honor_preload_default]
[msc.preload.tracking.com.tencent.news]: [honor_preload_default]
[msc.preload.tracking.com.tencent.qqlive]: [honor_preload_default]
[msc.preload.tracking.com.wuba]: [honor_preload_default]
[msc.preload.tracking.com.ximalaya.ting.android]: [honor_preload_default]
[msc.preload.tracking.com.xingin.xhs]: [honor_preload_default]
[msc.preload.tracking.com.xunmeng.pinduoduo]: [honor_preload_default]
[msc.preload.tracking.com.youku.phone]: [honor_preload_default]
[msc.preload.tracking.com.zhihu.android]: [honor_preload_default]
[msc.preload.tracking.me.ele]: [honor_preload_default]
[msc.protocol.lte_qoe_switch_nr]: [true]
[msc.protocol.pdu_failure_close_nr]: [true]
[msc.protocol.radio.sa_to_lte_for_power_save]: [true]
[msc.protocol.smart_dual_card]: [true]
[msc.servicehost.needstartprocess]: [true]
[msc.settings.gesture_animation_resource]: [720p]
[msc.settings.hide_ges_indicator]: [false]
[msc.settings.product_cust_date]: [1747376173]
[msc.settings.support_vonr]: [true]
[msc.settings.use_dts_hnversion]: [true]
[msc.snapshot_pixel_format_reduced]: [true]
[msc.speed_limit_notifier_enable]: [true]
[msc.speed_test_limit_notifier_enable]: [true]
[msc.super_device.capability_level]: [1,2,3]
[msc.sys.base_all_groupversion]: [G3.0]
[msc.sys.country]: [cn]
[msc.sys.custPath]: [/version/cust/all/cn]
[msc.sys.cust_all_groupversion]: [G3.0]
[msc.sys.hota.is_hninit_cust_exists]: [false]
[msc.sys.hota.is_hninit_exists]: [false]
[msc.sys.hota.is_hninit_preload_exists]: [false]
[msc.sys.ipv6opt]: [true]
[msc.sys.ipv6timeout]: [1900]
[msc.sys.max_rdh_delay]: [2000]
[msc.sys.oemName]: [ANY-AN00]
[msc.sys.preload_all_groupversion]: [G3.0]
[msc.sys.sub1_disable_switch_cs]: [true]
[msc.sys.vendor]: [all]
[msc.systemui.notification_count]: [30]
[msc.telephony.SmartDualCardVersion]: [3]
[msc.telephony.hicure.esmflag]: [true]
[msc.telephony.rat_changed_delay]: [true]
[msc.telephony.support_nr_switch_policy]: [true]
[msc.touch_boost]: [1]
[msc.volte.check_qcom_call]: [true]
[msc.wifi.support_dualwifi]: [false]
[msc.window_corner_config]: [2,2,2.0,1.1]
[mscw.bluetooth.ranging.inloss]: [22]
[mscw.hnouc.patch.display.version]: []
[mscw.hnouc.patch.version]: []
[mscw.hnouc.update_engine.times]: [0]
[mscw.hnouc.update_engine.up]: [false]
[mscw.media.multidrm_certificate]: [false]
[mscw.pc.support.app.projection]: [true]
[mscw.power.saving.always.netconnect]: [false]
[mscw.power.saving.autoquit]: [false]
[mscw.product.network_scan_by_item]: [true]
[mscw.sys.auto.carlife.adb.ps]: [0]
[mscw.sys.auto.honorauto.installed]: [0]
[mscw.sys.hicom_running]: [1]
[mscw.system.folderPrefix]: [Honor]
[mscw.system_app.pg_ctrl_add]: [false]
[mscw.wifipro.dns_fail_count]: [13]
[mscw.wifipro.uid_dns_fail_count]: [10075-2/10154-2/1000-3/10063-15/10044-3/10074-2/10086-6/10141-2]
[net.bt.name]: [Android]
[net.ntp.time]: [1755568983701]
[net.ntp.timereference]: [42337]
[net.tcp.2g_init_rwnd]: [10]
[odsign.key.done]: [1]
[odsign.verification.done]: [1]
[odsign.verification.success]: [1]
[partition.cust.verified]: [2]
[partition.cust.verified.hash_alg]: [sha256]
[partition.odm.verified]: [2]
[partition.odm.verified.hash_alg]: [sha256]
[partition.preas.verified]: [2]
[partition.preas.verified.hash_alg]: [sha256]
[partition.preavs.verified]: [2]
[partition.preavs.verified.hash_alg]: [sha256]
[partition.preload.verified]: [2]
