[aaudio.hw_burst_min_usec]: [2000]
[init.svc.qti-testscripts]: [stopped]
[init.svc.qti_display_boot]: [stopped]
[init.svc.rillogcat]: [stopped]
[init.svc.rphone_early]: [stopped]
[init.svc.secureelement-hal_1_2]: [running]
[init.svc.sensors-hal-1-2_hw]: [stopped]
[init.svc.servicemanager]: [running]
[init.svc.sleeplogcat]: [stopped]
[init.svc.sop-hal-1-0]: [stopped]
[init.svc.ssgqmigd]: [running]
[init.svc.statsd]: [running]
[init.svc.storage_info]: [restarting]
[init.svc.storaged]: [running]
[init.svc.surfaceflinger]: [running]
[init.svc.system_suspend]: [running]
[init.svc.teeadapter]: [running]
[init.svc.thermal-daemon]: [running]
[init.svc.thermal-engine]: [running]
[init.svc.time_daemon]: [running]
[init.svc.tombstoned]: [running]
[init.svc.tp-hal-1-0]: [running]
[init.svc.traced]: [running]
[init.svc.traced_perf]: [stopped]
[init.svc.traced_probes]: [running]
[init.svc.ueventd]: [running]
[init.svc.uniperf-hal-1-0]: [running]
[init.svc.update_engine]: [stopped]
[init.svc.usb_port]: [running]
[init.svc.usbd]: [stopped]
[init.svc.vendor-sensor-sh]: [stopped]
[init.svc.virtual_keyboard]: [running]
[init.svc.vndservicemanager]: [running]
[init.svc.vold]: [running]
[init.svc.wifi_ext]: [running]
[init.svc.wificond]: [running]
[init.svc.wlan_detect]: [stopped]
[init.svc.wpa_supplicant]: [running]
[init.svc.xlogcat_service]: [stopped]
[init.svc.xlogctl_service]: [stopped]
[init.svc.xlogfilter_service]: [stopped]
[init.svc.xmntn_himntn]: [stopped]
[init.svc.xmntn_rainbow]: [stopped]
[init.svc.zygote]: [running]
[init.svc.zygote_secondary]: [running]
[log.flowctrl.1]: [27eccdc00590399ea0a5c6f5c60b53ececb0]
[log.tag.APM_AudioPolicyManager]: [D]
[log.tag.stats_log]: [I]
[media.stagefright.enable-aac]: [true]
[media.stagefright.enable-fma2dp]: [true]
[media.stagefright.enable-http]: [true]
[media.stagefright.enable-player]: [true]
[media.stagefright.enable-qcp]: [true]
[media.stagefright.enable-scan]: [true]
[media.stagefright.thumbnail.prefer_hw_codecs]: [true]
[msc.audio.high.samplerate.output]: [1]
[msc.booster.vonr_switch_by_city]: [true]
[msc.boot.powerkey.restart_type]: [0]
[msc.camera.BackSnapShotLimit]: [true]
[msc.camera.back_video_default_value]: [1080P]
[msc.camera.beauty_max_3x_zoom_dot]: [true]
[msc.camera.capturedelay_config_enable]: [true]
[msc.camera.documentrecognition]: [false]
[msc.camera.fastcapture]: [false]
[msc.camera.front_touch_shot]: [off]
[msc.camera.front_video_default_value]: [1080P]
[msc.camera.light_leak_mask]: [1]
[msc.camera.lightpainting]: [false]
[msc.camera.livephoto_enable]: [false]
[msc.camera.osgiframework]: [false]
[msc.camera.provideo]: [false]
[msc.camera.rawphoto.save]: [false]
[msc.camera.slowmotion]: [false]
[msc.camera.smartshoot_enable]: [true]
[msc.camera.support_720p_21_9]: [true]
[msc.camera.timelapse]: [true]
[msc.camera.timelapse1_show_videotime]: [true]
[msc.camera.vibrator_optimize_enable]: [true]
[msc.camera.videostabilization]: [false]
[msc.cast.cast_config_parameter]: [RESOLUTION_CEA;5;30;PROFILE_CHP;LEVEL_32;VTP_UNSUPPORT;30;30;44;3;8]
[msc.config.BatteryLevel_job_allowed]: [95]
[msc.config.OptiDBConfig]: [true]
[msc.config.allow_rs_mms]: [true]
[msc.config.aqv_enabled]: [false]
[msc.config.charge_frz]: [true]
[msc.config.cota]: [false]
[msc.config.dbsearch_lite]: [true]
[msc.config.dts_settings]: [true]
[msc.config.eapsim]: [true]
[msc.config.easywakeup]: [true]
[msc.config.easywakeup_openface]: [true]
[msc.config.eccNumUseRplmn]: [true]
[msc.config.ecclist_nocard]: [+120,+122]
[msc.config.ecclist_withcard]: [+112]
[msc.config.emcom]: [true]
[msc.config.emcom_mpux]: [4]
[msc.config.fake_ecc_list]: [110,120,122,999,119]
[msc.config.freeform_enable]: [true]
[msc.config.fyuse_enable]: [false]
[msc.config.globalEcc]: [true]
[msc.config.globalSearch]: [true]
[msc.config.gta_words]: [huawei]
[msc.config.hntheme]: [1]
[msc.config.hotswap_on]: [true]
[msc.config.knucklegesture]: [Honor]
[msc.config.light_enhance]: [true]
[msc.config.linkedin_enable]: [false]
[msc.config.lite_discover_enable]: [true]
[msc.config.lite_story_enable]: [true]
[msc.config.lte_release]: [true]
[msc.config.lte_support]: [true]
[msc.config.magic.version]: [6.1]
[msc.config.motion_reco_qcom]: [true]
[msc.config.multiwindow_optimization]: [true]
[msc.config.navi_extend]: [false]
[msc.config.new_screen_aspect]: [1600:1520:0720]
[msc.config.newsimple]: [true]
[msc.config.nlp]: [com.huawei.lbs]
[msc.config.notch_size]: [184,44,268,40]
[msc.config.opta]: [999]
[msc.config.optb]: [156]
[msc.config.power_saving]: [true]
[msc.config.power_voice_key]: [true]
[msc.config.privacySpace]: [false]
[msc.config.rcs_product]: [true]
[msc.config.rcs_vendor]: [true]
[msc.config.rcs_vs_is]: [1]
[msc.config.security_volume]: [8]
[msc.config.show_4G_Plus_icon]: [true]
[msc.config.singlehand]: [1]
[msc.config.smallwindow]: [0]
[msc.config.support_clone_app]: [true]
[msc.config.support_geofence]: [true]
[msc.config.support_hnpki]: [true]
[msc.config.support_led]: [false]
[msc.config.switchdata_4G]: [true]
[msc.config.sws]: [true]
[msc.config.sync_enabled]: [true]
[msc.config.tint]: [true]
[msc.config.triple_finger]: [true]
[msc.config.updateCotaPara]: [true]
[msc.config.useCtrlSocket]: [true]
[msc.config.use_security_patch]: [false]
[msc.config.vassistant_honor]: [true]
[msc.config.vcardBase64]: [true]
[msc.config.voicemail_sim]: [true]
[msc.config.volte_dyn]: [true]
[msc.config.volte_icon_rule]: [1]
[msc.config.volte_on]: [true]
[msc.config.vtlte_on]: [true]
[msc.config.wakeup_device]: [true]
[msc.config.watermark]: [false]
[msc.config.wifibridge]: [true]
[msc.cust.oma_drm]: [false]
[msc.feature_nsa_nodata_release_scg]: [true]
[msc.foreground_data_opt_enable]: [true]
[msc.gallery.spotlight_highlight_reel_ui_hide]: [false]
[msc.gallery.video_template]: [false]
[msc.hicall.screensharing]: [true]
[msc.hicall.skinbeauty]: [false]
[msc.iConnect.BtScoRecord]: [true]
[msc.inputmethod.haptic_max_level]: [1]
[msc.inputmethod.support_touch_host_processing]: [true]
[msc.keychain_switch]: [true]
[msc.launcher.app_launch_animation_enable]: [false]
[msc.launcher.app_recent_animation_low_load]: [true]
[msc.launcher.card_support]: [true]
[msc.launcher.enable_preload_layout_vc]: [def_*;porsche_*;channel_*;all_cn]
[msc.launcher.quick_switch_force_enable]: [true]
[msc.launcher.right.second.screen_support]: [true]
[msc.launcher.unlock_animation]: [false]
[msc.launcher.unlock_animation_level]: [1]
[msc.launcher_gesture_snapshot_enable]: [false]
[msc.lcd.density.scale]: [800]
[msc.media.audio.lowlatency.enable]: [true]
[msc.meetime.message.mode]: [1]
[msc.meetime.mode]: [2]
[msc.meetime.p2p.mode]: [1]
[msc.multidevice.fams_enable]: [true]
[msc.multiscreen]: [true]
[msc.network.emcom_qoe_strategy]: [2]
[msc.notification.block_rule.enabled]: [1]
[msc.nsa_nodata_release_scg_timer]: [48000]
[msc.only_ipv6_allowed_cure]: [true]
[msc.os_camera.hide_aux_api1_camera_id]: [true]
[msc.performance.low_device]: [true]
[msc.pms.reserve_profile]: [true]
[msc.pp.cmcc_cu_dsdx_enable]: [true]
[msc.pp.ds_fail]: [111,30,32,33,35]
[msc.pp.network.type.comma]: [true]
[msc.pp.qcril_cross_mapping]: [true]
[msc.preload.tracking.cn.wps.moffice_eng]: [honor_preload_default]
[msc.preload.tracking.com.UCMobile]: [honor_preload_default]
[msc.preload.tracking.com.baidu.BaiduMap]: [honor_preload_default]
[msc.preload.tracking.com.baidu.searchbox]: [honor_preload_default]
[msc.preload.tracking.com.dragon.read]: [honor_preload_default]
[msc.preload.tracking.com.eg.android.AlipayGphone]: [honor_preload_default]
[msc.preload.tracking.com.jingdong.app.mall]: [honor_preload_default]
[msc.preload.tracking.com.sina.weibo]: [honor_preload_default]
[msc.preload.tracking.com.smile.gifmaker]: [honor_preload_default]
[msc.preload.tracking.com.sohu.newsclient]: [honor_preload_default]
[msc.preload.tracking.com.ss.android.article.news]: [honor_preload_default]
[msc.preload.tracking.com.ss.android.ugc.aweme]: [honor_preload_default]
[msc.preload.tracking.com.taobao.litetao]: [honor_preload_default]
[msc.preload.tracking.com.taobao.taobao]: [honor_preload_default]
[msc.preload.tracking.com.tencent.news]: [honor_preload_default]
[msc.preload.tracking.com.tencent.qqlive]: [honor_preload_default]
[msc.preload.tracking.com.wuba]: [honor_preload_default]
[msc.preload.tracking.com.ximalaya.ting.android]: [honor_preload_default]
[msc.preload.tracking.com.xunmeng.pinduoduo]: [honor_preload_default]
[msc.preload.tracking.com.youku.phone]: [honor_preload_default]
[msc.protocol.lte_qoe_switch_nr]: [true]
[msc.protocol.pdu_failure_close_nr]: [true]
[msc.protocol.radio.sa_to_lte_for_power_save]: [true]
[msc.protocol.smart_dual_card]: [true]
[msc.radio.defdualnrcap]: [1]
[msc.servicehost.needstartprocess]: [true]
[msc.settings.gesture_animation_resource]: [720p]
[msc.settings.hide_ges_indicator]: [false]
[msc.settings.product_cust_date]: [1691402131]
[msc.settings.support_vonr]: [true]
[msc.settings.use_dts_hnversion]: [true]
[msc.snapshot_pixel_format_reduced]: [true]
[msc.speed_limit_notifier_enable]: [true]
[msc.speed_test_limit_notifier_enable]: [true]
[msc.sys.base_all_groupversion]: [G2.0]
[msc.sys.country]: [cn]
[msc.sys.custPath]: [/version/cust/all/cn]
[msc.sys.cust_all_groupversion]: [G2.0]
[msc.sys.hota.is_hninit_cust_exists]: [false]
[msc.sys.hota.is_hninit_exists]: [false]
[msc.sys.hota.is_hninit_preload_exists]: [false]
[msc.sys.ipv6opt]: [true]
[msc.sys.ipv6timeout]: [1900]
[msc.sys.max_rdh_delay]: [2000]
[msc.sys.oemName]: [VNE-AN00]
[msc.sys.preload_all_groupversion]: [G2.0]
[msc.sys.sub1_disable_switch_cs]: [true]
[msc.sys.vendor]: [all]
[msc.systemui.notification_count]: [50]
[msc.telephony.SmartDualCardVersion]: [3]
[msc.telephony.hicure.esmflag]: [true]
[msc.telephony.rat_changed_delay]: [true]
[msc.telephony.support_nr_switch_policy]: [true]
[msc.touch_boost]: [1]
[msc.vm.start-dex2oat-threads]: [4]
[msc.volte.check_qcom_call]: [true]
[msc.wifi.support_dualwifi]: [false]
[msc.window_corner_config]: [1,1,0,0]
[mscw.hnouc.patch.version]: [6.1.0.152(C00E145R1P4patch01)]
[mscw.hnouc.update_engine.times]: [0]
[mscw.hnouc.update_engine.up]: [false]
[mscw.media.multidrm_certificate]: [false]
[mscw.power.saving.always.netconnect]: [false]
[mscw.power.saving.autoquit]: [false]
[mscw.product.network_scan_by_item]: [true]
[mscw.system.folderPrefix]: [Honor]
[mscw.wifipro.dns_fail_count]: [1]
[mscw.wifipro.uid_dns_fail_count]: [10068-2/10153-5/10070-3/10058-4/10162-5/10176-1/10120-14/10169-1]
[net.bt.name]: [Android]
[net.ntp.time]: [1755750553046]
[net.ntp.timereference]: [41314]
[net.qtaguid_enabled]: [1]
[net.tcp.2g_init_rwnd]: [10]
[partition.cust.verified]: [2]
[partition.cust.verified.hash_alg]: [sha256]
[partition.odm.verified]: [2]
[partition.odm.verified.hash_alg]: [sha1]
[partition.preas.verified]: [2]
[partition.preas.verified.hash_alg]: [sha256]
[partition.preavs.verified]: [2]
[partition.preavs.verified.hash_alg]: [sha256]
[partition.preload.verified]: [2]
[partition.preload.verified.hash_alg]: [sha256]
[partition.product_h.verified]: [2]
[partition.product_h.verified.hash_alg]: [sha256]
[partition.system.verified]: [2]
[partition.system.verified.hash_alg]: [sha256]
[partition.system_ext.verified]: [2]
[partition.system_ext.verified.hash_alg]: [sha256]
[partition.vendor.verified]: [2]
[partition.vendor.verified.hash_alg]: [sha1]
[partition.version.verified]: [2]
[partition.version.verified.hash_alg]: [sha256]
[persist.bt.max.a2dp.connections]: [2]
[persist.config.lower_buffer_num_enable]: [true]
[persist.config.pcm_data_size]: [50]
[persist.device_config.runtime_native.usap_pool_enabled]: []
[persist.jank.gameskip]: [true]
[persist.lastusertype]: [1]
[persist.log.tag]: [M]
[persist.log.tag.GPQTEEC]: [I]
[persist.logd.size]: []
[persist.media.lowlatency.enable]: [true]
[persist.radio.airplane_mode_on]: [0]
[persist.radio.apm_sim_not_pwdn]: [1]
[persist.radio.cur_dend_cause]: [2105]
[persist.radio.defdualltecap]: [1]
[persist.radio.defdualsimltemenu]: [false]
[persist.radio.disconnectCode]: [-1]
[persist.radio.dualltecap]: [1]
[persist.radio.hw_hicure.esmflag_state0]: [1]
[persist.radio.hw_hicure.esmflag_state1]: [0]
[persist.radio.last_phone_type]: [GSM]
[persist.radio.lte.signalstrength]: [2147483647;2147483647;2147483647,2147483647;2147483647;2147483647]
[persist.radio.modem.cap]: [78542417]
[persist.radio.multisim.config]: [dsds]
[persist.radio.nitz_hw_name]: []
[persist.radio.nr.signalstrength]: [2147483647;2147483647;2147483647,2147483647;2147483647;2147483647]
[persist.radio.nsa_display_config]: []
[persist.radio.optimized_for_config_d]: []
[persist.radio.previousopcode0]: [46002]
[persist.radio.procsetdata]: [com.android.systemui]
[persist.radio.rat_changed_delay_timer]: []
[persist.radio.sa_dynamic_switch]: [true]
[persist.radio.usersetdata]: [false]
[persist.service.hdb.enable]: [true]
[persist.service.tm2.tofile]: [false]
[persist.sys.appstart.enable]: [true]
[persist.sys.appstart.sync]: [false]
[persist.sys.aps.defaultWidth]: [720]
[persist.sys.aps.firstboot]: [0]
[persist.sys.audio_mode]: [0]
[persist.sys.aware.compile.prop.num]: [4]
[persist.sys.aware.compile.prop.time]: [1755677744]
[persist.sys.boot.reason]: []
[persist.sys.boot.reason.history]: [reboot,1755750527
reboot,1755710486
reboot,1755668406
reboot,shell,1755644544]
[persist.sys.changelogmask]: [false]
[persist.sys.cloneapp_mode]: [0]
[persist.sys.cpuset.enable]: [1]
[persist.sys.cpuset.subswitch]: [16625168]
[persist.sys.dalvik.vm.lib.2]: [libart.so]
[persist.sys.device_mcc]: []
[persist.sys.device_mnc]: []
[persist.sys.displayinset.top]: [0]
[persist.sys.dpi]: [360]
[persist.sys.dualcards]: [true]
[persist.sys.dubai.device.secure]: [false]
[persist.sys.enable_iaware]: [true]
[persist.sys.fast_h_delay]: [3000]
[persist.sys.fast_h_duration]: [2000]
[persist.sys.fast_h_max]: [50]
[persist.sys.fingerpressnavi]: [0]
[persist.sys.fingersense]: [1]
[persist.sys.force_sw_gles]: [1]
[persist.sys.fsantiaging.enable]: [1]
[persist.sys.fuse]: [true]
[persist.sys.fuse.passthrough.enable]: [0]
[persist.sys.fuse.passthrough.version_r.enable]: [1]
[persist.sys.getvolumelist.cache]: [true]
[persist.sys.gps.lpp]: [15]
[persist.sys.hardcoder.name]: [resmon|16]
[persist.sys.hiview.base_version]: [VNE-LGRP1-CHN 6.1.0.152]
[persist.sys.hiview.cota_version]: []
[persist.sys.hiview.cust_version]: [VNE-AN00-CUST 6.1.0.145(C00)]
[persist.sys.hiview.ecota_version]: []
[persist.sys.hiview.module_version]: [0290000000]
[persist.sys.hiview.preload_version]: [VNE-AN00-PRELOAD 6.1.0.4(C00R1)]
[persist.sys.hn.forcedark_policy]: [1]
[persist.sys.hn_screen_freq]: [0]
[persist.sys.hnpms_error_log]: []
[persist.sys.hnpms_error_reboot_count]: [0]
[persist.sys.hota_phase]: [3-0;]
[persist.sys.huawei.debug.on]: [0]
[persist.sys.hw.forcedark_policy]: [1]
[persist.sys.hwGpsTimestamp]: [1695869206000]
[persist.sys.hwLastSystemTime]: [1695869207414]
[persist.sys.hw_screen_freq]: [0]
[persist.sys.hwairplanestate]: [error]
[persist.sys.hwpms_error_log]: []
[persist.sys.hwpms_error_reboot_count]: [0]
[persist.sys.hyperhold.permanently.closed]: [1]
[persist.sys.hyperhold.swapout.enable]: [0]
[persist.sys.hyperhold.swapout.enable.cfg]: [true]
[persist.sys.hyperhold.swapsize]: [2]
[persist.sys.iaware.appboost.click_duration]: [1000]
[persist.sys.iaware.appboost.click_times]: [3]
[persist.sys.iaware.appboost.slide_duration]: [5000]
[persist.sys.iaware.appboost.slide_times]: [16]
[persist.sys.iaware.appboost.switch]: [true]
[persist.sys.iaware.appscenerecog.switch]: [true]
[persist.sys.iaware.appsdk]: [true]
[persist.sys.iaware.blitparallel]: [true]
[persist.sys.iaware.cpuenable]: [false]
[persist.sys.iaware.jpg_sample_adapt]: [0]
[persist.sys.iaware.profile]: [true]
[persist.sys.iaware.size.BitmapDeocodeCache]: [2048]
[persist.sys.iaware.switch.BitmapDeocodeCache]: [true]
[persist.sys.iaware.task.stack.restore.enable.cfg]: [true]
[persist.sys.iaware.topa.train]: [10]
[persist.sys.iaware.topimcn]: [com.tencent.mm]
[persist.sys.iaware.vsyncfirst]: [true]
[persist.sys.iaware_fast_h_delay]: [3000]
[persist.sys.install_no_quota]: [1]
[persist.sys.isolated_storage]: [true]
[persist.sys.lmk.reportkills]: [true]
[persist.sys.locale]: [zh-Hans-CN]
[persist.sys.logsystem.coredump]: [off]
[persist.sys.logsystem.modem]: [0]
